method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
cql_adaptive_safety,cql,3,in_distribution,adaptive,1,2.2161037918354793,13681.828786160144,13681.828786160144,31.162021348894932,0.0,0.0,0.025246829415361088,0.024527856211602972,342.41234583333716,0.25,0.75,0.25,0.0
cql,cql,3,load_up_20,none,1,20.086464918297786,177352.99103359657,177352.99103359657,34.06595215856789,20.086464918297786,1.0,0.0,0.0,0.2434666666661182,0.0,1.0,0.0,0.0
cql_ood_warning,cql,3,load_up_20,ood_warning,1,20.086464918297786,177352.99103359657,177352.99103359657,34.06595215856789,20.086464918297786,1.0,0.0,0.0,0.24089166666622455,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,load_up_20,fixed,1,20.506917561600293,18212.377377132096,18212.377377132096,53.86174937760625,1.538877860696175e-07,0.0,0.45090897226085264,0.4232649112465811,156.53826250000216,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
cql_adaptive_safety,cql,3,load_up_20,adaptive,1,20.369468652862192,17330.822011359105,17330.822011359105,23.55000454244881,0.0,0.0,0.22259092222278318,0.20812416202184,172.37871666666987,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
cql,cql,3,cold_wave_extreme,none,1,58.798836587056094,485180.39081796975,485180.39081796975,64.19225476407324,58.798836587056094,1.0,0.0,0.0,0.243291666663481,0.0,1.0,0.0,0.0
cql_ood_warning,cql,3,cold_wave_extreme,ood_warning,1,58.798836587056094,485180.39081796975,485180.39081796975,64.19225476407324,58.798836587056094,1.0,0.0,0.0,0.228629166668289,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,cold_wave_extreme,fixed,1,59.140347253830384,16570.225728284862,16570.225728284862,16.92071942207161,2.6741219727455245e-07,0.0,0.6019533487657706,0.5709030292171445,124.43995833333452,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
cql_adaptive_safety,cql,3,cold_wave_extreme,adaptive,1,59.06912846756546,16221.172850895624,16221.172850895624,7.345435053173931,7.60699965240974e-08,0.0,0.5297051932041844,0.5020794827757826,154.60890416666473,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
cql,cql,3,compound_extreme,none,1,73.29592317535578,608418.6652382533,608418.6652382533,76.3527812730184,73.29592317535578,1.0,0.0,0.0,0.25658333332856387,0.0,1.0,0.0,0.0
cql_ood_warning,cql,3,compound_extreme,ood_warning,1,73.29592317535578,608418.6652382533,608418.6652382533,76.3527812730184,73.29592317535578,1.0,0.0,0.0,0.25244999999903445,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,compound_extreme,fixed,1,74.00845873736793,25557.678387371903,25557.678387371903,30.926611604611896,2.9649729782477152e-08,0.0,0.7377055498460928,0.6925816596835365,109.81249583333506,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334
cql_adaptive_safety,cql,3,compound_extreme,adaptive,1,73.99945340832005,25038.110574968807,25038.110574968807,16.68022049192825,6.649746531195433e-08,0.0,0.6278405776247382,0.5875076661130771,128.8250083333343,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0
cql,cql,4,in_distribution,none,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,0.2770750000019954,0.0,1.0,0.0,0.0
cql_ood_warning,cql,4,in_distribution,ood_warning,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,0.2579416666641521,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,4,in_distribution,fixed,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,387.35885000000417,0.0,1.0,0.0,0.0
